0,1,2,3,4
30326,25859,25859,23504,21061
75836,54665,54665,51296,54831
58054,37024,37024,36804,36429
37356,32976,32976,32319,32781
24506,18222,18222,15898,15698
111190,70060,70060,63948,85286
29846,29205,29205,27612,24275
25848,24446,24446,18412,15953
21830,16817,16817,15332,15112
35103,25371,25371,24647,30680
53753,50023,50023,49131,41919
64653,40567,40567,31417,32173
36850,9697,9697,9905,9825
55534,41932,41932,34110,37788
57850,59786,59786,49749,33990
46894,31029,31029,29946,28964
23660,17893,17893,15230,13989
25207,21125,21125,20127,20462
38689,32840,32840,24542,26840
22509,16422,16422,16720,17351
27784,25097,25097,21174,19371
26993,22659,22659,23616,24898
51071,39731,39731,36388,37733
51594,25733,25733,23536,29960
73485,40822,40822,38652,38202
46674,31164,31164,33388,35183
69843,49051,49051,51617,49948
74642,57430,57430,62181,59523
139572,111726,111726,108515,102439
51318,33854,33854,28829,21783
65915,68347,68347,64945,52863
71425,75753,75753,67793,47690
24587,32080,32080,22740,24290
38414,29453,29453,29076,27096
70820,63693,63693,56586,59368
27924,22722,22722,21601,21443
25695,25098,25098,24172,23536
20016,19017,19017,16921,16342
103999,63091,63091,61587,48260
65922,33234,33234,32064,33547
26678,20487,20487,16068,18642
54209,32389,32389,30982,32462
61726,32768,32768,34118,32654
47719,28079,28079,23765,23710
74595,42624,42624,42324,50903
23615,20202,20202,17862,16819
43020,34231,34231,33678,33355
21032,15659,15659,12737,12172
30768,20147,20147,19918,22207
33683,25029,25029,20157,26483
44069,32924,32924,29068,27201
31359,17809,17809,16671,15476
23917,17894,17894,13674,13724
69476,53646,53646,45490,44869
49845,36176,36176,33918,28943
48324,28854,28854,25191,31888
23418,26301,26301,22898,18325
66337,30183,30183,28999,29718
45397,35382,35382,28523,29187
54639,44246,44246,36808,39579
85976,52550,52550,51769,50769
63127,41388,41388,33344,27010
30809,30429,30429,30987,30858
49947,26831,26831,25164,27224
20434,18052,18052,16431,16809
52211,32634,32634,28676,33407
21821,17085,17085,16769,12856
95535,49786,49786,55997,56954
34113,25854,25854,24477,21240
64647,44826,44826,45212,39637
62542,54939,54939,47072,49201
43749,32770,32770,30172,26038
57235,50386,50386,48349,49482
53067,26724,26724,25408,29303
57808,33868,33868,33394,33488
25090,26341,26341,23194,21777
52279,25140,25140,22148,18887
39319,24471,24471,23314,18508
89128,62436,62436,55865,60356
27051,21136,21136,17614,14527
60991,61245,61245,59917,63218
38890,35429,35429,32279,30501
54698,31860,31860,31053,33774
25405,16893,16893,14961,14646
32074,28939,28939,27120,23474
44542,16334,16334,15588,13550
80979,27336,27336,19898,22030
56733,40895,40895,36251,32043
83770,52719,52719,51108,34987
65515,44817,44817,44266,48862
48631,26191,26191,28261,22131
45856,42538,42538,40431,38127
59624,36344,36344,35810,36711
77741,55580,55580,56807,62228
69586,60365,60365,57929,61650
79599,80683,80683,76732,68433
55818,46731,46731,44126,38506
58312,48519,48519,47019,47306
56233,38766,38766,35793,35269
33020,19254,19254,19640,20068
83598,54156,54156,51842,61389
94679,52173,52173,52630,58663
50743,36544,36544,30193,33572
32612,31100,31100,30047,26858
54043,36747,36747,38379,37820
44119,60096,60096,60029,44228
86331,65497,65497,60748,58273
87374,52548,52548,39223,41505
56655,31585,31585,32026,37110
48551,36345,36345,35856,37983
41101,28246,28246,20981,19383
78592,62311,62311,59888,66590
32646,21147,21147,16425,16658
48083,46168,46168,42576,37307
37586,28398,28398,28131,29636
87243,44611,44611,34741,55704
61934,49901,49901,50472,47764
51673,44108,44108,39093,37301
43240,26720,26720,26536,26911
79838,87366,87366,83466,77476
27463,31622,31622,29833,25293
55851,55010,55010,51128,43191
14768,12469,12469,11926,10837
60840,33768,33768,28983,29072
97487,67540,67540,71834,72196
64983,57541,57541,51557,60474
75649,54258,54258,50924,49329
24578,24241,24241,23409,22121
68316,58936,58936,56620,56192
39865,23382,23382,22471,22264
43025,24844,24844,21820,22317
73318,53745,53745,49024,42824
25734,20215,20215,19035,19999
71810,77832,77832,68537,66561
30968,25601,25601,26186,26325
53859,32803,32803,31498,28313
88617,79402,79402,70298,71256
43961,31311,31311,22560,20712
44714,45472,45472,36776,32717
41395,35620,35620,33901,32719
103255,78686,78686,81525,81264
33634,23134,23134,15242,17277
34011,20988,20988,17985,22187
35053,25179,25179,21007,22782
16919,14801,14801,11843,12851
54133,41050,41050,36520,33930
73553,53392,53392,50390,43452
59334,50515,50515,44878,39466
46437,32009,32009,30188,24803
95126,89391,89391,82648,77282
68697,52977,52977,50585,57383
58032,32150,32150,33707,34374
34307,24312,24312,33169,32081
38543,19904,19904,23344,21737
63391,57039,57039,45286,43952
69150,76418,76418,61477,52070
34329,34268,34268,33715,31136
90408,49026,49026,43491,52859
42731,48094,48094,42151,36369
65309,63380,63380,58148,52291
45993,35759,35759,34566,33435
61055,39372,39372,36905,37829
45087,32927,32927,31737,29683
62059,52367,52367,50675,49112
46292,27425,27425,26002,28878
50845,26865,26865,24585,27160
69684,42982,42982,38327,45284
65633,40022,40022,34568,32508
62605,33928,33928,28391,31796
53573,44194,44194,38798,28983
112594,85804,85804,88812,70221
44448,49783,49783,45135,37027
76726,65463,65463,64513,68448
95711,59895,59895,60927,62311
55696,36802,36802,39974,40365
62943,57482,57482,49141,39328
54088,28279,28279,28260,36029
58885,36908,36908,32319,34382
52568,36161,36161,32859,30861
52450,33506,33506,27165,29696
45959,21922,21922,21168,16806
67758,51493,51493,47790,46782
72849,42674,42674,41360,38878
59282,43187,43187,39854,36878
37718,25693,25693,23633,22811
72687,33281,33281,27635,30081
105848,68896,68896,62309,66828
105848,68896,68896,62309,66828
53742,40613,40613,41087,39828
111067,87419,87419,79504,100246
53704,32020,32020,33398,33016
51671,48188,48188,47057,46752
38761,25776,25776,23284,21662
81083,61729,61729,60320,64006
88767,55120,55120,52609,53193
79727,50982,50982,51644,59681
85768,79146,79146,80257,83195
77095,41116,41116,34269,42637
72554,53855,53855,48804,47916
76706,38470,38470,38190,40300
51171,32491,32491,34045,42347
20214,17648,17648,16516,15898
120913,93441,93441,91466,92510
77032,64441,64441,60928,61651
80604,58638,58638,59056,55510
66918,47665,47665,47702,45536
76299,60471,60471,57825,58931
23829,14050,14050,13555,12805
98256,76728,76728,79634,65606
56720,54197,54197,47717,47046
111952,94992,94992,98395,106787
47940,29395,29395,29934,26898
76792,52504,52504,51747,51533
90382,66084,66084,64095,66354
69253,73480,73480,70762,62218
71920,36327,36327,39889,43611
49662,34762,34762,35531,33683
39051,34065,34065,32223,25943
71486,64130,64130,59029,57986
60932,57556,57556,48776,56101
66146,53968,53968,49960,48578
92113,75467,75467,68019,75433
104873,89846,89846,85158,87251
69513,49799,49799,49347,42220
50856,47950,47950,43187,45658
81026,59971,59971,59395,59069
72601,63699,63699,58979,50698
36875,29452,29452,27727,30268
49090,25143,25143,26706,36650
64148,48996,48996,41961,42988
91242,60473,60473,62443,67732
45893,37374,37374,35061,31963
48064,30589,30589,31195,33508
36875,29452,29452,27727,30268
48269,53840,53840,50564,44272
34335,30655,30655,28238,27592
33164,26763,26763,24753,25065
27950,22718,22718,21700,19629
76181,57070,57070,61287,61829
42714,18360,18360,21801,20694
55369,49877,49877,47701,53286
45332,23781,23781,21478,27285
54332,49524,49524,49299,51896
33637,23946,23946,26217,26459
52201,21194,21194,21614,22528
43872,22668,22668,19215,22346
62746,51124,51124,51920,52710
53250,46317,46317,41015,39839
59961,34575,34575,34872,28462
69213,44507,44507,34298,41858
36141,26398,26398,26666,25214
101758,40344,40344,47220,55005
73901,62496,62496,59776,56734
28133,19734,19734,19020,21405
101687,64339,64339,64160,74414
81646,72424,72424,71723,67058
42246,37263,37263,36588,38616
57702,39052,39052,36916,43971
39609,30446,30446,25566,25691
12434,10201,10201,10302,10922
42234,35206,35206,35893,27588
55876,48759,48759,47220,46588
73635,37180,37180,38792,39338
29088,24854,24854,23502,27405
93420,89681,89681,76809,81635
71269,52333,52333,50033,50370
93420,89681,89681,76809,81635
87027,69406,69406,65587,58847
50127,43724,43724,42955,43933
43861,40221,40221,34923,32574
102228,89079,89079,90887,84353
74232,59302,59302,58518,59429
71402,57316,57316,55436,56105
124521,92951,92951,84584,90602
67235,53519,53519,51859,59990
56975,54177,54177,54766,50486
84757,77508,77508,72976,72837
80939,63680,63680,58411,59475
82788,63502,63502,58943,54572
109367,82903,82903,84430,92043
62880,38115,38115,35024,41548
78476,72426,72426,67130,66355
49096,39683,39683,38836,40163
91208,85939,85939,79873,77768
95594,70085,70085,68539,68180
67373,55877,55877,52612,52208
44523,34814,34814,33557,34941
43996,43328,43328,36494,29726
65247,46074,46074,47003,42665
78063,50856,50856,44419,50319
51206,44820,44820,29554,25318
23787,23905,23905,22246,16382
20238,16502,16502,16744,12707
40236,26703,26703,22087,21760
54905,39235,39235,29805,34030
24057,18114,18114,16322,15412
105149,71340,71340,72375,87443
13702,12414,12414,10705,9026
32021,20786,20786,11628,10277
29864,32172,32172,26849,22282
58292,39927,39927,37624,34271
42616,29077,29077,24024,23255
18251,9189,9189,9921,14937
37430,34933,34933,32876,34154
46384,34348,34348,26545,30878
66320,51444,51444,51036,52804
68965,52588,52588,47383,48964
57484,31271,31271,28452,29074
41633,39258,39258,29595,18002
76614,62824,62824,64722,65790
58346,51702,51702,49522,41881
12264,10039,10039,9757,9482
42136,38051,38051,35213,36296
32117,25951,25951,25169,21197
11365,13308,13308,12513,11452
24037,17109,17109,14652,13870
36311,21914,21914,19882,18125
40610,36981,36981,30669,27129
46115,34762,34762,33745,33673
42573,22619,22619,18928,20434
44881,43246,43246,36903,27029
59110,56478,56478,54637,46921
30259,20119,20119,16745,14998
66300,27719,27719,28424,32473
26750,13717,13717,12472,13489
47489,27870,27870,24527,25390
37389,29381,29381,29084,19946
66924,46987,46987,45687,47335
19011,11045,11045,10164,10890
47507,30479,30479,30299,28958
59106,54193,54193,48998,59978
28045,15530,15530,13246,11092
48419,32241,32241,35612,38300
54598,45795,45795,45106,42159
43128,33293,33293,32763,25524
37621,25509,25509,24929,21564
47234,41307,41307,39250,39463
11506,12299,12299,10665,10820
55558,48536,48536,44621,41798
51787,49486,49486,47285,49802
47318,51435,51435,36715,33748
30229,20120,20120,16743,15001
63614,44373,44373,35297,33591
66303,27697,27697,28423,32478
69678,53640,53640,47261,48843
103920,139454,139454,77769,57914
23570,14652,14652,12377,12833
81824,44462,44462,39079,34464
47485,27861,27861,24522,25388
47058,23619,23619,20425,22328
35575,30085,30085,29789,20251
42205,41707,41707,40653,36219
49547,42100,42100,40619,38243
66954,46704,46704,45370,47006
29976,16877,16877,14994,14881
19024,10982,10982,10150,10899
59111,54202,54202,49014,59983
30017,15423,15423,13224,11089
45768,37085,37085,37739,38737
57371,45313,45313,42473,48197
42959,33250,33250,32669,25505
22978,17747,17747,15777,14729
37519,23751,23751,21491,22715
48418,30365,30365,30437,30247
28801,17624,17624,17027,17181
31751,19222,19222,17448,14711
73168,56070,56070,59042,42853
39385,33666,33666,26169,24866
43065,37998,37998,38990,35321
39129,39977,39977,32852,32477
68306,63907,63907,59343,61105
72436,67953,67953,62404,61693
79539,56190,56190,57661,56419
66219,46758,46758,52063,50087
61877,38652,38652,40610,35041
86891,30596,30596,29203,32243
30986,29088,29088,27275,25371
22375,11817,11817,9881,12682
51147,36766,36766,36841,33136
37533,14090,14090,13821,17071
157760,8508,8508,8209,8965
33758,26437,26437,23210,18667
20684,18926,18926,16070,12414
46383,27000,27000,28795,31241
34601,13459,13459,10617,13718
42125,14278,14278,12596,19059
39166,24090,24090,22960,28089
11374,6329,6329,6045,6005
140249,113388,113388,114489,120034
100968,67715,67715,64741,61736
82595,63521,63521,58662,56745
111028,102362,102362,101297,101155
132820,131836,131836,130698,118079
94692,77174,77174,77028,69146
103014,88025,88025,82734,81442
149083,132057,132057,130738,129793
59805,48331,48331,47598,37848
97254,84751,84751,80918,83924
119286,101680,101680,99117,105883
114629,97112,97112,90803,92756
121248,111631,111631,110159,114279
131527,118340,118340,116219,120990
85036,77995,77995,75662,76171
195663,183949,183949,176079,178299
152745,127600,127600,127781,137326
159001,142414,142414,137616,139838
145014,139513,139513,138695,138783
149301,142995,142995,141439,140041
89995,84298,84298,79293,81959
106018,107515,107515,98649,101070
103369,47977,47977,52352,56489
71749,72571,72571,71719,66352
62454,55282,55282,55220,58432
60733,51974,51974,44038,44904
64227,60766,60766,54294,55093
178172,145402,145402,139022,142312
119202,83187,83187,82863,82061
55128,62362,62362,56628,43712
63076,43880,43880,37625,46370
95149,73225,73225,64272,72355
36355,34547,34547,29688,28307
115197,86774,86774,86733,98906
65086,57193,57193,57983,59137
101495,93064,93064,85583,91708
106315,96068,96068,94005,93519
112416,86790,86790,84611,84583
73637,51327,51327,53572,56211
60583,29568,29568,30388,30846
102371,113494,113494,108469,106096
55893,34829,34829,35321,40862
61583,49459,49459,45481,44393
49518,47348,47348,46244,43458
83678,69726,69726,72042,65832
73687,53062,53062,45695,43464
108673,110889,110889,102180,102192
107750,82387,82387,79519,85331
102498,85097,85097,84160,85820
133372,140376,140376,141300,124988
128950,112049,112049,109918,109482
109557,98337,98337,99166,97900
113743,105286,105286,102973,101482
105835,107600,107600,99395,99288
111466,116852,116852,107527,105040
97341,92988,92988,89466,92325
114287,119814,119814,119171,115790
88663,70996,70996,66331,66139
91149,81812,81812,74222,73048
118095,99240,99240,99203,103700
126190,120019,120019,118764,110729
102371,113494,113494,108469,106096
